Ticker,Open,High,Low,Close,Volume,Date
INFY,2.820312,2.831054,2.773437,2.803515,7475200,02-05-1997
INFY,2.77539,2.798828,2.736328,2.746484,10086400,05-05-1997
INFY,2.746093,2.773437,2.726562,2.767675,7270400,06-05-1997
INFY,2.763671,2.811523,2.749023,2.790527,7936000,07-05-1997
INFY,2.832031,2.884765,2.8125,2.860742,18227200,08-05-1997
INFY,2.861328,2.888671,2.849609,2.863281,7424000,09-05-1997
INFY,2.857421,2.861328,2.8125,2.823242,5734400,12-05-1997
INFY,2.822265,2.842968,2.822265,2.837988,2713600,13-05-1997
INFY,2.832031,2.835937,2.792968,2.832714,3942400,14-05-1997
INFY,2.833007,2.833007,2.802929,2.81123,1843200,15-05-1997
INFY,2.8125,2.816406,2.796875,2.808691,2764800,16-05-1997
INFY,2.820312,2.85498,2.810546,2.828222,3328000,19-05-1997
INFY,2.816406,2.832031,2.816406,2.828125,2150400,20-05-1997
INFY,2.832031,2.832031,2.810546,2.815625,2611200,21-05-1997
INFY,2.8125,2.8125,2.691406,2.727539,16947200,22-05-1997
INFY,2.722656,2.831738,2.695312,2.782226,20326400,23-05-1997
INFY,2.77539,2.822265,2.77539,2.805468,9011200,26-05-1997
INFY,2.829882,2.910156,2.81455,2.865625,20377600,27-05-1997
INFY,2.804687,2.825976,2.773632,2.812695,4915200,28-05-1997
INFY,2.812402,2.825195,2.80664,2.819921,819200,29-05-1997
INFY,2.832031,2.90039,2.832031,2.891601,3174400,30-05-1997
INFY,2.867187,2.929687,2.867187,2.924707,2150400,02-06-1997
INFY,2.929589,3.050781,2.929589,3.009179,4556800,03-06-1997
INFY,2.992187,3.021484,2.988281,3.011718,2406400,04-06-1997
INFY,3.027343,3.046875,2.999023,3.004296,1587200,05-06-1997
INFY,2.984375,3.046875,2.934667,3.033789,5939200,06-06-1997
INFY,3.042968,3.245996,3.037109,3.215917,14694400,09-06-1997
INFY,3.204101,3.441113,3.204101,3.441113,18534400,10-06-1997
INFY,3.537011,3.613281,3.378906,3.412304,19148800,11-06-1997
INFY,3.413964,3.505859,3.378906,3.408789,7526400,12-06-1997
INFY,3.341796,3.388671,3.339843,3.36416,4147200,13-06-1997
INFY,3.242187,3.339843,3.134765,3.165136,16025600,16-06-1997
INFY,3.300781,3.386718,3.300781,3.386718,4659200,17-06-1997
INFY,3.613281,3.623828,3.613281,3.623828,1894400,18-06-1997
INFY,3.808593,3.808593,3.535156,3.70332,9267200,19-06-1997
INFY,3.740234,3.740234,3.633789,3.661328,3788800,20-06-1997
INFY,3.623046,3.632812,3.554687,3.607519,3225600,23-06-1997
INFY,3.537109,3.591796,3.417968,3.467968,4352000,24-06-1997
INFY,3.515625,3.671875,3.515625,3.55371,3328000,25-06-1997
INFY,3.566406,3.640625,3.554687,3.618164,2048000,26-06-1997
INFY,3.586914,3.58789,3.536328,3.548828,3328000,27-06-1997
INFY,3.544921,3.632812,3.544921,3.625878,4352000,30-06-1997
INFY,3.662109,3.857421,3.662109,3.778417,15104000,01-07-1997
INFY,3.798828,3.80664,3.705078,3.752148,4812800,02-07-1997
INFY,3.746093,3.886718,3.701171,3.848242,6246400,03-07-1997
INFY,3.882812,4.003906,3.828125,3.913574,9574400,04-07-1997
INFY,4.082031,4.187597,3.945312,4.187597,9881600,07-07-1997
INFY,4.27539,4.287109,3.90625,4.119433,8601600,08-07-1997
INFY,3.908203,4.394531,3.908203,4.37539,9267200,09-07-1997
INFY,4.394531,4.53125,4.345703,4.443652,6144000,10-07-1997
INFY,4.296875,4.754492,4.296875,4.716992,17254400,11-07-1997
INFY,4.763671,4.938964,4.726562,4.878417,12032000,14-07-1997
INFY,4.919921,4.919921,4.638671,4.679687,7270400,15-07-1997
INFY,4.736328,4.921875,4.611328,4.667382,8857600,16-07-1997
INFY,4.645117,4.753906,4.578222,4.710937,5990400,17-07-1997
INFY,4.710937,4.710937,4.710937,4.710937,0,18-07-1997
INFY,4.59375,4.59375,4.38125,4.38125,307200,21-07-1997
